business-date,sum(rideshare_profit)
Uber-5,1.631336154899843E8
Uber-3,1.5207287640998194E8
Uber-1,1.3319711161004505E8
Uber-4,1.5026982017998013E8
Uber-2,1.3062880563000622E8
